Review,Brand,Variety,Style,Country,Stars,Count,Average,Count_no
1979,Nissin,BIG Cup Noodle Ajillo,Cup,Japan,3,234,3.981605113636364,99
1946,Nissin,Raoh Shio Ramen,Pack,Japan,4.75,234,3.981605113636364,77
1940,Nissin,Cup Noodle Pasta Style Bolognese,Cup,Japan,5,234,3.981605113636364,99
1938,Nissin,Donbei Kamodashi Soba,Bowl,Japan,5,234,3.981605113636364,54
1911,Nissin,Emergency Chikin Ramen Cup Noodle,Cup,Japan,5,234,3.981605113636364,99
1908,Nissin,Kuroma-yu Tonkotsu Kumamoto Ramen,Bowl,Japan,4.75,234,3.981605113636364,54
1897,Nissin,Cup Noodle Massaman Curry,Cup,Japan,3.5,234,3.981605113636364,99
1893,Nissin,Cup Noodle Sio,Cup,Japan,5,234,3.981605113636364,99
1888,Nissin,Cup Noodles Kyushu White Flavour,Cup,Singapore,3.5,234,4.126146788990826,99
1871,Nissin,Cup Noodles Minced Pork Flavour,Cup,Thailand,3.75,234,3.384816753926702,99
1860,Nissin,Cupo Noodle Pasta Style Vongole,Cup,Japan,2.75,234,3.981605113636364,99
1759,Nissin,Cup Noodles Moo Manao Flavour,Cup,Thailand,4,234,3.384816753926702,99
1739,Nissin,Raoh Tanrei Koku Shio Ramen,Bowl,Japan,4.5,234,3.981605113636364,54
1631,Nissin,Donbei Tempura Soba Mini,Bowl,Japan,4,234,3.981605113636364,54
1626,Nissin,Gonbuto Kistune Udon,Bowl,Japan,2.75,234,3.981605113636364,54
1619,Nissin,Chu Qian Yi Ding Tom Yum Instant Noodles With Soup Base,Pack,Singapore,3.75,234,4.126146788990826,77
1605,Nissin,Demae Iccho Mushroom With Vegetables Flavour Macaroni,Pack,Hong Kong,3.5,234,3.8018248175182485,77
1599,Nissin,Top Ramen Super Noodles Tomato,Pack,India,3.5,234,3.3951612903225805,77
1578,Nissin,Gonbuto Tempura Udon,Bowl,Japan,4,234,3.981605113636364,54
1567,Nissin,Emergency Cup Noodle,Cup,Japan,4.25,234,3.981605113636364,99
1566,Nissin,Cup Noodles Tomato Enjoy Noodles With Hot Soup,Cup,India,3.25,234,3.3951612903225805,99
1546,Nissin,Demae Rice Vermicelli Beef Flavour,Pack,Hong Kong,3.5,234,3.8018248175182485,77
1524,Nissin,Chu Qian Yi Ding Spicy Sesame Flavour Instant Noodles With Soup Base,Pack,Singapore,3.5,234,4.126146788990826,77
1509,Nissin,Donbei Kitsune Udon Mini,Bowl,Japan,3.5,234,3.981605113636364,54
1507,Nissin,Chu Qian Yi Ding Prawn Flavour Instant Noodles With Soup Base,Pack,Singapore,3.5,234,4.126146788990826,77
1506,Nissin,Cup Noodles Mug Noodles Spicy Vegetable,Pack,India,3.75,234,3.3951612903225805,77
1461,Nissin,Cup Noodles Black Pepper Crab Flavour,Cup,Singapore,4,234,4.126146788990826,99
1460,Nissin,Premium Instant Noodles Spicy Beef Flavour,Pack,Singapore,3.75,234,4.126146788990826,77
1459,Nissin,Cup Noodles Tom Yam Veg Flavour,Cup,Singapore,4,234,4.126146788990826,99
1458,Nissin,Premium Instant Noodles Roasted Beef Flavour,Bowl,Singapore,3.75,234,4.126146788990826,54
1457,Nissin,Chu Qian Yi Ding Sesame Oil Flavour,Pack,Singapore,3.75,234,4.126146788990826,77
1456,Nissin,Cup Noodles Chicken Flavour,Cup,Singapore,3.5,234,4.126146788990826,99
1455,Nissin,Premium Instant Noodles XO Sauce Seafood Flavour,Pack,Singapore,3.75,234,4.126146788990826,77
1454,Nissin,Cup Noodles Chilli Crab Flavour,Cup,Singapore,4,234,4.126146788990826,99
1453,Nissin,Japanese Ramen Kyushu Black Instant Noodles With Soup Base,Pack,Singapore,5,234,4.126146788990826,77
1452,Nissin,Premium Instant Noodles Spicy Beef Flavour,Bowl,Singapore,3.75,234,4.126146788990826,54
1451,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,4,234,4.126146788990826,99
1450,Nissin,Japanese Ramen Tokyo Shoyu Instant Noodles With Soup Base,Pack,Singapore,5,234,4.126146788990826,77
1449,Nissin,Cup Noodles Seafood Curry Flavour,Cup,Singapore,4,234,4.126146788990826,99
1448,Nissin,Premium Instant Noodles Roasted Beef Flavour,Pack,Singapore,4.25,234,4.126146788990826,77
1447,Nissin,Cup Noodles Cream Of Chicken Flavour,Cup,Singapore,4,234,4.126146788990826,99
1398,Nissin,Fried Noodle Specialist Tom Yam Mee Goreng Flavour,Pack,Singapore,3,234,4.126146788990826,77
1318,Nissin,Spa Oh Tarako Spaghetti,Bowl,Japan,4,234,3.981605113636364,54
1307,Nissin,Cup Noodle Cheese Curry,Cup,Japan,3.75,234,3.981605113636364,99
1304,Nissin,Demae Ramen Shoyu Tonkotsu Artificial Pork Flavour,Pack,Hong Kong,4.75,234,3.8018248175182485,77
1263,Nissin,Cup Noodle Curry X Gunpla RX-78-2 Gundam,Cup,Japan,4.25,234,3.981605113636364,99
1243,Nissin,Demae Rice Vermicelli Chicken Flavour Instant Rice Vermicelli With Soup Base,Pack,Hong Kong,1.75,234,3.8018248175182485,77
1241,Nissin,Donbei Kansai Soy Sauce Flavor Udon,Pack,Japan,3.75,234,3.981605113636364,77
1235,Nissin,Demae Ramen Miso Tonkotsu Artificial Pork Flavor Ramen Noodle,Pack,Hong Kong,3.75,234,3.8018248175182485,77
1220,Nissin,Ultraman Instant Noodle Pork Flavour,Cup,Japan,3,234,3.981605113636364,99
1211,Nissin,Demae Iccho Instant Noodle With Soup Base Artificial Chicken Flavour,Bowl,Hong Kong,3,234,3.8018248175182485,54
1207,Nissin,UFO Yakisoba With Wasabi Mayonnaise,Bowl,Japan,5,234,3.981605113636364,54
